"variasi","menginap","hari","pendapatan"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","1,00","797,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","2,00","12.756,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","1,00","6.649,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","4,00","31.522,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","1,00","4.566,00"
"A","TIDAK","0,00","0,00"
"A","YA","1,00","6.723,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","4,00","3.662,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","4,00","34.787,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","YA","4,00","29.218,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
"A","TIDAK","0,00","0,00"
